date,code,name,open,high,low,close,volume,amount,market_cap
2025-12-23,600000,样本001,39.272294488652165,39.962239257807575,38.918647926554215,39.69405764237863,7013716,278402847.1912733,825636398.9614755
2025-12-24,600000,样本001,40.226043454481,41.18793193879755,39.21524469747505,39.773588261907896,2563652,101965639.0948167,827290635.8476843
2025-12-25,600000,样本001,39.815515291273705,40.68441425106325,39.21284982368193,40.14834197900341,4517279,181361262.1065705,835085513.163271
2025-12-26,600000,样本001,39.964616838311166,40.71057147359232,37.66749677358091,38.8192165165541,1879407,72957107.2557274,807439703.5443252
2025-12-29,600000,样本001,38.327203722691024,38.66137344056894,38.28617796328789,38.61047478685463,4216132,162786858.284051,803097875.5665764
2025-12-30,600000,样本001,38.40248290212519,39.12739841651496,35.64210916878327,36.20044784026789,4075612,147538979.62316987,752969315.0775721
2025-12-31,600000,样本001,35.84621955180892,36.59042161206995,35.570807574504265,35.78617600044843,3082383,110306700.53879024,744352460.8093274
2026-01-01,600000,样本001,36.1026653149203,36.26995901633256,35.4877726619282,35.77497340202328,7066590,252807069.29300368,744119446.7620841
2026-01-02,600000,样本001,35.33671000596241,36.53791967338579,34.55035766022919,35.849905670662004,913665,32754804.0645854,745678037.9497697
2026-01-05,600000,样本001,35.89269397628836,37.59577560917168,35.50369176684355,36.63805033101169,4865835,178274707.63239828,762071446.8850431
2026-01-06,600000,样本001,36.66535162441375,37.02067886110444,35.397655662696,35.55787917725832,6567437,233524131.35025585,739603886.8869731
2026-01-07,600000,样本001,35.795138258753,36.42870328543791,34.871842829208724,35.51652774602025,5176373,183846795.2782501,738743777.1172212
2026-01-08,600000,样本001,35.5617290666052,36.03147831334091,34.87048360231758,35.12290909996656,3339486,117292463.21861094,730556509.2793045
2026-01-09,600000,样本001,35.525144384637485,36.16140119725704,34.809207752807424,35.92965059906946,2543276,91379018.05699898,747336732.4606448
2026-01-12,600000,样本001,35.76323528491189,35.90444550655093,33.29196177408264,34.15794175706743,7570595,258595943.07634583,710485188.5470024
2026-01-13,600000,样本001,34.03204381783017,34.18055280343411,33.69988735055781,33.89559730419394,7437664,252104063.82790032,705028423.9272339
2026-01-14,600000,样本001,34.01510947457957,34.91724823571506,33.00744249650384,33.65520939901624,4643615,156281835.19341278,700028355.4995378
2026-01-15,600000,样本001,33.50592120956948,33.90419610938331,33.46766687608968,33.66234306823021,7034506,236797954.2875238,700176735.8191884
2026-01-16,600000,样本001,33.547935013748074,34.572598179498314,32.791773026182994,34.241656022402324,396535,13578015.070843304,712226445.2659683
2026-01-19,600000,样本001,34.36036501223757,34.48704353690413,32.19178197001235,33.15371878871329,5330533,176726992.07595623,689597350.8052365
2026-01-20,600000,样本001,33.208108391268745,34.07763867535624,32.089572277979606,32.42439697729456,4804269,155775525.24170998,674427457.1277269
2026-01-21,600000,样本001,32.58425356405293,33.11490072222286,31.836203120773668,32.60711165298082,7291598,237757950.11465165,678227922.382001
2026-01-22,600000,样本001,32.27005982028668,33.05236678351752,31.541100947753787,33.04723236805736,6522109,215537651.6527982,687382433.2555931
2026-01-23,600000,样本001,32.76370149742802,34.092343533611725,32.74967418746283,33.2784300626987,5102003,169786650.01517898,692191345.304133
2026-01-26,600000,样本001,33.23895857541208,33.96275294006261,32.58053337578769,32.80335688509007,1748464,57355488.59273213,682309823.2098734
2026-01-27,600000,样本001,33.08107289981112,33.42451541066392,30.19029033532864,31.074154955364307,4671995,145178296.58068725,646342423.0715775
2026-01-28,600000,样本001,31.11484693652513,32.60009686207906,30.699950792731403,31.694854274434608,7847079,248712025.3849761,659252968.9082398
2026-01-29,600000,样本001,31.608036911135624,32.51005523184486,30.903714311995728,31.658559778916334,4729092,149716241.78199503,658498043.4014598
2026-01-30,600000,样本001,31.642353631513267,32.03311722290541,30.37976899115009,31.24470964195151,735979,22995450.15757383,649889960.5525914
2026-02-02,600000,样本001,31.19656542710896,33.16206278304398,30.961655994487,32.24225113944282,6487105,209158868.5779352,670638823.7004107
2026-02-03,600000,样本001,32.061620037178535,32.66722125297458,31.06249168614997,31.995045560098877,2794915,89423432.76160374,665496947.6500566
2026-02-04,600000,样本001,31.5539699618296,31.819470632235564,31.35242699816322,31.7711428587284,7340622,233219950.2339246,660839771.4615507
2026-02-05,600000,样本001,31.87831528975093,32.33659459824597,30.3976232678897,30.94978432233066,5342345,165344425.52548158,643755513.9044777
2026-02-06,600000,样本001,30.40475259315209,30.902123148298813,29.831835060280643,30.476211958875236,5154764,157097680.26197952,633905208.744605
2026-02-09,600000,样本001,30.61481294434557,30.99276826159082,29.232506443253733,29.91825996752104,6558729,196225759.2785193,622299807.3244376
2026-02-10,600000,样本001,30.31782785993876,31.148555923946848,28.325286816690053,29.023627134326585,7045992,204500244.59944808,603691444.393993
2026-02-11,600000,样本001,28.876198436308,28.916612614727637,28.691953015273988,28.718048100967085,357681,10271900.162802009,597335400.5001154
2026-02-12,600000,样本001,29.055918326288936,29.21936077335755,28.259303355484743,28.748361118727303,504089,14491732.60797813,597965911.2695279
2026-02-13,600000,样本001,29.02133541243297,29.611519420341025,27.75194434098777,27.76950190384839,2622447,72824046.9592415,577605639.6000465
2026-02-16,600000,样本001,28.000317686255688,29.01556192063079,27.447569506326577,28.32589376411581,4963856,140605657.71636888,589178590.2936089
2026-02-17,600000,样本001,28.569984527445907,28.60399973828561,26.796939302697183,27.45728514759574,7688553,211106792.09340268,571111531.0699914
2026-02-18,600000,样本001,27.14285065874435,28.77943747579385,26.88390525948698,28.48998485638492,1079192,30746163.73713176,592591685.0128063
2026-02-19,600000,样本001,28.729223087418607,28.999612312112585,27.757811439581825,28.49539411544548,6417589,182871727.82594764,592704197.601266
2026-02-20,600000,样本001,28.42535156150733,29.29699491502416,28.257116769374583,28.541261647945596,4674401,133413301.98841852,593658242.2772684
2026-02-23,600000,样本001,28.26392372797736,28.518725835508462,27.703287777265867,28.436618786172694,5129246,145858413.16250116,591481670.752392
2026-02-24,600000,样本001,28.155296755008514,29.021927423961063,27.54541304711723,28.739844521113987,6964732,200165314.8112273,597788766.039171
2026-02-25,600000,样本001,28.514818833739536,28.91776089590992,27.958089143394517,28.89461427273236,1874474,54162203.19426572,601007976.872833
2026-02-26,600000,样本001,29.151170239926213,29.482898568184154,27.69136428612969,27.902959023778514,3760778,104936834.43152772,580381547.6945931
2026-02-27,600000,样本001,28.11033305166313,28.43128398535479,27.48518661415032,27.59589127580409,5367080,148109356.14854264,573994538.536725
2026-03-02,600000,样本001,27.58996572954865,28.72300196493684,27.14340420712738,28.406223751646145,1877450,53331264.78252806,590849454.0342398
2026-03-03,600000,样本001,28.255637999248,28.32474970208379,25.52175299483946,26.11139968488965,4716625,123157680.53874266,543117113.4457047
2026-03-04,600000,样本001,26.40661862433048,27.011209474080854,25.410064382166176,25.51038062867819,1239011,31607642.21311919,530615917.0765063
2026-03-05,600000,样本001,25.715842674818425,26.415101978927108,25.341269371478965,25.547625951205468,2590002,66168402.30887406,531390619.78507376
2026-03-06,600000,样本001,25.37281706713789,26.03217668082969,25.041843832020817,25.88684015283848,7094595,183656646.7141271,538446275.1790404
2026-03-09,600000,样本001,25.543931276551543,25.9702266344498,24.986569253169268,25.895021503389373,6256493,162012020.7708051,538616447.270499
2026-03-10,600000,样本001,25.993079753058662,26.701266901163404,25.94300772381604,26.40756241856392,4246454,112138499.06256042,549277298.3061296
2026-03-11,600000,样本001,26.12318600194069,26.687169937416986,25.70303109434736,26.47570538617786,6036986,159833462.75648034,550694672.0324996
2026-03-12,600000,样本001,26.47423465274729,26.8579554161782,25.839220770925,26.710298046972905,5227268,139621886.25140396,555574199.3770365
2026-03-13,600000,样本001,27.12941089518773,27.89379286530324,24.86532173324497,25.51050150021644,6261503,159734081.67510974,530618431.2045019
2026-03-16,600000,样本001,25.56547380927935,25.735123710081798,24.98296873346648,25.593505393737555,6109987,156375985.24016634,532344912.18974113
2026-03-17,600000,样本001,25.73572540685916,26.875116261695336,25.411632123381533,26.573627565399903,460046,12225091.066951964,552731453.360318
2026-03-18,600000,样本001,26.708272762546372,27.97312249993365,26.269165707809226,27.65165653078505,5828793,161175782.02504417,575154455.840329
2026-03-19,600000,样本001,27.89323744973036,28.66264173307495,27.298243720057208,27.61926153849367,1274966,35213619.40668712,574480640.0006684
2026-03-20,600000,样本001,27.179283697556265,27.831761029211,26.5981832660356,27.708744057085102,6637522,183917398.2712716,576341876.3873701
2026-03-23,600000,样本001,27.868636463384387,28.69455548299408,27.093556363613352,27.18879039162204,1579098,42933764.529829584,565526840.1457384
2026-03-24,600000,样本001,27.240838507297784,27.85407788233075,26.64031075801097,26.793481521228788,7332536,196464167.81974488,557304415.6415588
